rank,path,subject_id,date_id,gesture,repetition,correctness,posture,label,task,mahalanobis_sq,score01,speed,accel,jerk,smoothness
33,data/RawData/306_18_6_12_1_stand.txt,306,18,6,12,1,stand,stand,stand,19.153266535674202,0.9738134206219312,0.0,0.09371399922546793,0.9069081955674078,0.0
34,data/RawData/303_18_5_9_1_stand.txt,303,18,5,9,1,stand,stand,stand,19.13048631439345,0.9729950900163666,0.0004175362261004407,0.03468690024593278,0.9649002527257964,0.0
35,data/RawData/216_18_6_6_1_stand.txt,216,18,6,6,1,stand,stand,stand,19.08856582611025,0.972176759410802,0.0,0.0,1.064880183601795,0.0
36,data/RawData/306_18_6_10_1_stand.txt,306,18,6,10,1,stand,stand,stand,19.073868963055986,0.9713584288052373,0.0,0.0,1.0627531870080769,1.1133966876496577e-06
37,data/RawData/107_18_6_6_1_stand.txt,107,18,6,6,1,stand,stand,stand,18.880688246520908,0.9705400981996727,0.0,0.1320488486243159,0.8682561129554629,0.0
38,data/RawData/106_18_6_1_1_stand.txt,106,18,6,1,1,stand,stand,stand,18.75412607709506,0.969721767594108,0.0024116409905033122,0.33824561243739154,0.6593440277153084,0.0
39,data/RawData/302_18_6_11_1_stand.txt,302,18,6,11,1,stand,stand,stand,18.516295923738763,0.9689034369885434,7.697099785899415e-05,0.16149124550618316,0.8384305174350147,1.2660608892166113e-06
40,data/RawData/106_18_6_2_1_stand.txt,106,18,6,2,1,stand,stand,stand,18.43484253671801,0.9680851063829787,0.0014740897743356742,0.10252755008986011,0.8960000658565582,0.0
41,data/RawData/104_18_6_6_1_stand.txt,104,18,6,6,1,stand,stand,stand,18.149127155616092,0.967266775777414,0.0002985513183758244,0.10944956799625216,0.8902551717865599,0.0
42,data/RawData/207_18_0_20_2_stand.txt,207,18,0,20,2,stand,stand,stand,17.942762848793656,0.9664484451718495,0.0,0.0,1.0153364589626297,3.3102937970399204e-06
43,data/RawData/216_18_6_5_1_stand.txt,216,18,6,5,1,stand,stand,stand,17.872714450729678,0.9656301145662848,0.000437917225449772,0.1862413125352306,0.8133258019068276,0.0
44,data/RawData/302_18_6_7_1_stand.txt,302,18,6,7,1,stand,stand,stand,17.86934003495336,0.9648117839607201,0.0,0.0,1.0666228559204536,0.0
45,data/RawData/307_18_6_7_1_stand.txt,307,18,6,7,1,stand,stand,stand,17.30897710490801,0.9639934533551555,0.0017452867954100676,0.0,1.0648153618179146,0.0
46,data/RawData/107_18_6_3_1_stand.txt,107,18,6,3,1,stand,stand,stand,17.289084331913145,0.9631751227495908,0.0,0.0,1.198280111666685,0.0
47,data/RawData/215_18_6_1_1_stand.txt,215,18,6,1,1,stand,stand,stand,17.099262567217203,0.9623567921440261,0.0024236836759101332,0.0,1.246168444057874,0.0
48,data/RawData/101_18_6_6_1_stand.txt,101,18,6,6,1,stand,stand,stand,17.053758383055218,0.9615384615384616,0.0,0.0,1.1634826442433859,0.0
49,data/RawData/101_18_6_5_1_stand.txt,101,18,6,5,1,stand,stand,stand,16.664922266774894,0.9607201309328969,0.0,0.0,1.0419741242603333,0.0
50,data/RawData/305_18_6_12_1_stand.txt,305,18,6,12,1,stand,stand,stand,16.449708118266283,0.9599018003273322,0.0,0.06905520638930748,0.9313405293041187,0.0
51,data/RawData/202_18_4_19_2_stand.txt,202,18,4,19,2,stand,stand,stand,16.25954767504344,0.9590834697217676,3.567539266240289e-05,0.11318325129438966,0.8867785357698351,2.537543051341502e-06
52,data/RawData/105_18_6_8_1_stand.txt,105,18,6,8,1,stand,stand,stand,16.103061300970868,0.9582651391162029,0.00012150797056127755,0.0,1.4430835250641125,0.0
53,data/RawData/206_18_4_11_1_stand.txt,206,18,4,11,1,stand,stand,stand,15.521304513205562,0.9574468085106383,2.2553961589113686e-05,0.14780705407814454,0.8521693573200955,1.0346401064773725e-06
54,data/RawData/103_18_6_3_1_stand.txt,103,18,6,3,1,stand,stand,stand,15.321043516638968,0.9566284779050737,0.0,0.0,1.011770041770253,0.0
55,data/RawData/102_18_6_1_1_stand.txt,102,18,6,1,1,stand,stand,stand,15.320263152711567,0.955810147299509,0.0,0.08411331259747776,0.9160867585558967,0.0
56,data/RawData/103_18_6_4_1_stand.txt,103,18,6,4,1,stand,stand,stand,15.259839254204834,0.9549918166939444,0.00019729191444356267,0.0003409683620349101,0.9994845376335011,0.0
57,data/RawData/307_18_6_10_1_stand.txt,307,18,6,10,1,stand,stand,stand,15.203960590990958,0.9541734860883797,0.0004046717444465603,0.2584107972688495,0.7411845378014253,0.0
58,data/RawData/105_18_5_6_1_stand.txt,105,18,5,6,1,stand,stand,stand,15.154369057164738,0.953355155482815,0.0,0.1600670979177589,0.8399682147836449,4.611079391816064e-06
59,data/RawData/202_18_3_1_2_stand.txt,202,18,3,1,2,stand,stand,stand,14.933079197805885,0.9525368248772504,0.0,0.0,1.1331515171440973,0.0
60,data/RawData/207_18_6_1_2_stand.txt,207,18,6,1,2,stand,stand,stand,14.809248922039147,0.9517184942716858,0.0,0.0,1.1682234838326186,0.0
61,data/RawData/213_18_1_6_2_stand.txt,213,18,1,6,2,stand,stand,stand,14.550782026799846,0.9509001636661211,0.0,0.12393570200417531,0.876087555241252,4.300763152766544e-06
62,data/RawData/107_18_6_1_1_stand.txt,107,18,6,1,1,stand,stand,stand,14.519643461264536,0.9500818330605565,0.0,0.0,1.0358466131471664,0.0
63,data/RawData/216_18_6_1_1_stand.txt,216,18,6,1,1,stand,stand,stand,14.099902233822068,0.9492635024549918,0.0,0.0,1.3423833045218985,0.0
64,data/RawData/207_18_3_12_2_stand.txt,207,18,3,12,2,stand,stand,stand,14.092066868727567,0.9484451718494271,0.0,0.0,1.1975198128957412,0.0
65,data/RawData/216_18_6_2_1_stand.txt,216,18,6,2,1,stand,stand,stand,14.049194994016688,0.9476268412438625,0.0,0.0,1.1692789504050713,0.0
66,data/RawData/215_18_6_3_1_stand.txt,215,18,6,3,1,stand,stand,stand,13.993810053954434,0.9468085106382979,0.0005560140799432377,0.053717476490375116,0.9457324228716267,0.0
67,data/RawData/105_18_6_9_1_stand.txt,105,18,6,9,1,stand,stand,stand,13.963674295646651,0.9459901800327333,0.0,0.3221491021167139,0.6780819927486731,0.0
68,data/RawData/215_18_6_7_1_stand.txt,215,18,6,7,1,stand,stand,stand,13.851942464266802,0.9451718494271686,0.0012991976719776417,0.0,1.044940911809182,2.887295406396223e-06
69,data/RawData/207_18_6_20_2_stand.txt,207,18,6,20,2,stand,stand,stand,13.822740989966281,0.9443535188216039,0.0,0.0,1.1684625351768387,0.0
70,data/RawData/211_18_6_1_1_stand.txt,211,18,6,1,1,stand,stand,stand,13.813332098443551,0.9435351882160393,0.0,0.0,1.2272433172108557,0.0
71,data/RawData/102_18_8_3_1_stand.txt,102,18,8,3,1,stand,stand,stand,13.23073448705597,0.9427168576104746,0.0,0.0,1.159123789530588,0.0
72,data/RawData/107_18_6_4_1_stand.txt,107,18,6,4,1,stand,stand,stand,13.045159963168786,0.94189852700491,0.0003948881018688423,0.4444812612696435,0.5551435596358273,0.0
73,data/RawData/207_18_3_14_2_stand.txt,207,18,3,14,2,stand,stand,stand,13.022103042492805,0.9410801963993454,0.0,0.0,1.177254187220626,0.0
74,data/RawData/105_18_5_4_1_stand.txt,105,18,5,4,1,stand,stand,stand,12.756036314866504,0.9402618657937807,1.7555654352203482e-05,0.2286736617067073,0.7713053320457386,3.450593123608462e-06
75,data/RawData/102_18_6_4_1_stand.txt,102,18,6,4,1,stand,stand,stand,12.62258554035667,0.939443535188216,0.0006386208522144218,0.8552022032270853,0.14417775651220754,0.0
76,data/RawData/206_18_6_8_1_stand.txt,206,18,6,8,1,stand,stand,stand,12.587792386288777,0.9386252045826514,0.0,0.0,1.0390467073581533,1.5234506560631311e-06
77,data/RawData/105_18_6_6_1_stand.txt,105,18,6,6,1,stand,stand,stand,12.483512651991653,0.9378068739770867,0.0002855453511270114,0.3017162149625832,0.6980147558925135,0.0
78,data/RawData/305_18_6_8_1_stand.txt,305,18,6,8,1,stand,stand,stand,12.366751976948832,0.936988543371522,0.0,0.012594649266990813,0.9875931537174829,0.0
79,data/RawData/207_18_3_11_2_stand.txt,207,18,3,11,2,stand,stand,stand,12.34671700773537,0.9361702127659575,0.0,0.08958144457474758,0.9104442653251202,1.457437760795805e-06
80,data/RawData/104_18_3_2_1_stand.txt,104,18,3,2,1,stand,stand,stand,12.306525464697124,0.9353518821603928,9.082568419560733e-05,0.22120024067731142,0.7787101177109461,0.0
81,data/RawData/303_18_6_7_1_stand.txt,303,18,6,7,1,stand,stand,stand,12.038064279764466,0.9345335515548282,6.612997503681385e-06,0.11004039010975956,0.8899506573249338,2.3395677199517566e-06
82,data/RawData/207_18_6_18_2_stand.txt,207,18,6,18,2,stand,stand,stand,11.98732884588099,0.9337152209492635,0.0,0.0,1.16155966590856,0.0
83,data/RawData/207_18_0_16_2_stand.txt,207,18,0,16,2,stand,stand,stand,11.957580823110176,0.9328968903436988,0.0,0.0,1.3020606223858069,0.0
84,data/RawData/102_18_6_5_1_stand.txt,102,18,6,5,1,stand,stand,stand,11.938296827732287,0.9320785597381342,0.0,0.0,1.069589298467586,0.0
85,data/RawData/207_18_3_3_2_stand.txt,207,18,3,3,2,stand,stand,stand,11.91522751890838,0.9312602291325696,0.0005316766636455681,0.06202619677008008,0.9374484234683242,0.0
86,data/RawData/103_18_4_6_1_stand.txt,103,18,4,6,1,stand,stand,stand,11.663536950283907,0.9304418985270049,0.0,0.08942290392951203,0.9106878819616883,0.0
87,data/RawData/107_18_6_5_1_stand.txt,107,18,6,5,1,stand,stand,stand,11.419438708089425,0.9296235679214403,0.0,0.09691864850135642,0.9031694902034035,0.0
88,data/RawData/103_18_0_5_1_stand.txt,103,18,0,5,1,stand,stand,stand,11.408046828567002,0.9288052373158756,0.0,0.0,1.177097696034761,0.0
89,data/RawData/106_18_6_4_1_stand.txt,106,18,6,4,1,stand,stand,stand,11.396402366668573,0.9279869067103109,0.0,0.05653463193606015,0.9438354172717702,0.0
90,data/RawData/107_18_0_4_1_stand.txt,107,18,0,4,1,stand,stand,stand,11.356353636077822,0.9271685761047463,0.0,0.10455051455929422,0.8954931138431662,9.587311317918342e-06
91,data/RawData/306_18_6_9_1_stand.txt,306,18,6,9,1,stand,stand,stand,11.3010343801407,0.9263502454991817,3.1695041115951715e-05,0.022114077257841567,0.9778659067417889,0.0
92,data/RawData/302_18_6_8_1_stand.txt,302,18,6,8,1,stand,stand,stand,11.287995055329711,0.925531914893617,0.0008935436468699945,0.04056706519249098,0.9585423818951585,0.0
93,data/RawData/213_18_6_5_1_stand.txt,213,18,6,5,1,stand,stand,stand,11.280595850805827,0.9247135842880524,0.0,0.2753744491770964,0.7246416225031811,0.0
94,data/RawData/207_18_0_7_2_stand.txt,207,18,0,7,2,stand,stand,stand,11.208025869360544,0.9238952536824877,0.0,0.0,1.2296735350281836,0.0
95,data/RawData/207_18_0_1_2_stand.txt,207,18,0,1,2,stand,stand,stand,11.18538604265624,0.9230769230769231,0.0,0.0,1.2417416583104524,0.0
96,data/RawData/102_18_4_1_1_stand.txt,102,18,4,1,1,stand,stand,stand,11.061437652285642,0.9222585924713584,0.0002079895490128657,0.26321058430678607,0.7365847518398738,0.0
97,data/RawData/202_18_4_2_1_stand.txt,202,18,4,2,1,stand,stand,stand,11.047989689041279,0.9214402618657938,0.002064344521033703,0.0,1.0146246977834046,7.2756089015408876e-06
98,data/RawData/207_18_6_7_2_stand.txt,207,18,6,7,2,stand,stand,stand,11.042783205414478,0.9206219312602292,0.0015323191470702677,0.18405285219026077,0.8144326151477046,0.0
99,data/RawData/305_18_6_7_1_stand.txt,305,18,6,7,1,stand,stand,stand,11.005636877970783,0.9198036006546645,0.00015684530865027298,0.14497319598659444,0.8548842125760411,0.0
100,data/RawData/105_18_6_2_1_stand.txt,105,18,6,2,1,stand,stand,stand,10.968491978466618,0.9189852700490998,6.686312169406868e-05,0.0,1.1799156800801478,0.0
101,data/RawData/105_18_6_4_1_stand.txt,105,18,6,4,1,stand,stand,stand,10.940988419036344,0.9181669394435352,0.000728038469103204,0.0,1.0932623550041898,0.0
102,data/RawData/101_18_6_2_1_stand.txt,101,18,6,2,1,stand,stand,stand,10.856611354931463,0.9173486088379705,0.00033520208881412825,0.19780537627745523,0.8018614723736113,0.0
103,data/RawData/107_18_5_4_1_stand.txt,107,18,5,4,1,stand,stand,stand,10.807713724443039,0.9165302782324058,0.0,0.06419260958251359,0.9359960173326085,0.0
104,data/RawData/301_18_6_12_1_stand.txt,301,18,6,12,1,stand,stand,stand,10.796397689659731,0.9157119476268413,0.0,0.03786762902637881,0.9624971568814477,0.0
105,data/RawData/211_18_6_6_1_stand.txt,211,18,6,6,1,stand,stand,stand,10.619052069552874,0.9148936170212766,0.0,0.0,1.1384957520220582,0.0
106,data/RawData/305_18_4_8_1_stand.txt,305,18,4,8,1,stand,stand,stand,10.594797057771132,0.9140752864157119,0.0,0.0,1.026260942272484,1.6498716247665054e-06
107,data/RawData/104_18_1_1_1_stand.txt,104,18,1,1,1,stand,stand,stand,10.3263282434411,0.9132569558101473,0.0,0.0,1.1919092544268581,0.0
108,data/RawData/106_18_5_2_1_stand.txt,106,18,5,2,1,stand,stand,stand,10.324308374952789,0.9124386252045826,7.119685945210664e-05,0.23504275287698878,0.764887309073549,0.0
109,data/RawData/103_18_6_5_1_stand.txt,103,18,6,5,1,stand,stand,stand,10.242907050430551,0.911620294599018,0.0007222776148470611,0.3433524077572502,0.655939452593876,0.0
110,data/RawData/102_18_5_3_1_stand.txt,102,18,5,3,1,stand,stand,stand,10.129876063354422,0.9108019639934534,2.4310409897084952e-05,0.22347583381472097,0.7764988407970644,1.0149782187566691e-06
111,data/RawData/103_18_4_1_1_stand.txt,103,18,4,1,1,stand,stand,stand,10.064274784324724,0.9099836333878887,0.0001715656917615506,0.1295929450813187,0.8702373905337549,0.0
112,data/RawData/206_18_4_10_1_stand.txt,206,18,4,10,1,stand,stand,stand,10.057676291750203,0.9091653027823241,6.968906761877915e-06,0.1961955904883434,0.8037944340726865,3.00653210869072e-06
113,data/RawData/206_18_2_13_1_stand.txt,206,18,2,13,1,stand,stand,stand,9.987453840566577,0.9083469721767594,9.508179990579386e-06,0.15282723852734512,0.8471573770864957,5.876206068361856e-06
114,data/RawData/216_18_5_2_1_stand.txt,216,18,5,2,1,stand,stand,stand,9.863336401432246,0.9075286415711947,0.0002981207188112093,0.3087298793236445,0.6909601171363176,1.188282112556929e-05
115,data/RawData/101_18_6_4_1_stand.txt,101,18,6,4,1,stand,stand,stand,9.719555480675442,0.9067103109656302,0.0005650479079805377,0.0,1.114599632502504,0.0
116,data/RawData/301_18_6_11_1_stand.txt,301,18,6,11,1,stand,stand,stand,9.673459939222699,0.9058919803600655,0.0,0.2970413362088129,0.7038215064945067,0.0
117,data/RawData/104_18_1_7_1_stand.txt,104,18,1,7,1,stand,stand,stand,9.584252149714802,0.9050736497545008,5.388838535149316e-05,0.18944009869277473,0.8105015528690421,4.460052727413621e-06
118,data/RawData/307_18_4_9_1_stand.txt,307,18,4,9,1,stand,stand,stand,9.551474107030929,0.9042553191489362,0.0,0.0,1.1917466064228084,0.0
119,data/RawData/215_18_6_5_1_stand.txt,215,18,6,5,1,stand,stand,stand,9.419630118979317,0.9034369885433715,0.001853236283574471,0.0,1.2015623864066143,0.0
120,data/RawData/206_18_6_10_1_stand.txt,206,18,6,10,1,stand,stand,stand,9.406771092981792,0.9026186579378068,0.0,0.0,1.0805305581514264,1.8511366546378452e-06
121,data/RawData/207_18_6_6_2_stand.txt,207,18,6,6,2,stand,stand,stand,9.358948668498227,0.9018003273322422,0.0,0.0,1.1774300058912426,0.0
122,data/RawData/306_18_6_8_1_stand.txt,306,18,6,8,1,stand,stand,stand,9.13647816617392,0.9009819967266776,0.0024460863439294904,0.0,1.2305636773795465,0.0
123,data/RawData/102_18_6_3_1_stand.txt,102,18,6,3,1,stand,stand,stand,9.125765509318592,0.900163666121113,0.00010277048559764179,0.43239624742497695,0.5675046342629615,0.0
124,data/RawData/213_18_6_1_1_stand.txt,213,18,6,1,1,stand,stand,stand,9.10207447145066,0.8993453355155483,7.670064196838737e-05,0.0,1.122454811256246,0.0
125,data/RawData/105_18_4_6_1_stand.txt,105,18,4,6,1,stand,stand,stand,9.042699627176571,0.8985270049099836,0.0007922811220074738,0.0,1.0272201345404108,1.941578293419851e-05
126,data/RawData/105_18_6_7_1_stand.txt,105,18,6,7,1,stand,stand,stand,9.03600114984965,0.897708674304419,0.0010798526840867717,0.0,1.2212758310780465,0.0
127,data/RawData/106_18_4_2_1_stand.txt,106,18,4,2,1,stand,stand,stand,9.000662258275273,0.8968903436988543,0.0,0.07730118880144604,0.9228498462064467,0.0
128,data/RawData/103_18_0_2_1_stand.txt,103,18,0,2,1,stand,stand,stand,8.93871251453463,0.8960720130932897,0.0,0.17295733225487744,0.8271087220642792,8.328776188072526e-06
129,data/RawData/207_18_6_3_2_stand.txt,207,18,6,3,2,stand,stand,stand,8.909412631760715,0.8952536824877251,0.0,0.0,1.283093935970065,0.0
130,data/RawData/207_18_0_17_2_stand.txt,207,18,0,17,2,stand,stand,stand,8.877383803415428,0.8944353518821604,0.0,0.2865150983309285,0.7134864795896374,1.3098669001741846e-06
131,data/RawData/302_18_6_10_1_stand.txt,302,18,6,10,1,stand,stand,stand,8.751957430866513,0.8936170212765957,0.0,0.0,1.2942914969022776,0.0
132,data/RawData/206_18_2_8_1_stand.txt,206,18,2,8,1,stand,stand,stand,8.733996534656063,0.8927986906710311,0.0002477941755292073,0.05845384160250038,0.9413007309535445,0.0
133,data/RawData/104_18_1_2_1_stand.txt,104,18,1,2,1,stand,stand,stand,8.706850160244741,0.8919803600654664,3.4352168598948556e-05,0.21912267387588805,0.7808375421626865,5.43179271158167e-06
134,data/RawData/306_18_5_8_1_stand.txt,306,18,5,8,1,stand,stand,stand,8.702026211571871,0.8911620294599017,0.0,0.0,1.0983784361901165,0.0
