rank,path,subject_id,date_id,gesture,repetition,correctness,posture,label,task,mahalanobis_sq,score01,speed,accel,jerk,smoothness
28,data/RawData/201_18_2_46_2_wheelchair.txt,201,18,2,46,2,wheelchair,wheelchair,wheelchair,8.806319100412496,0.925207756232687,0.0005521200627151069,0.7492710721379673,0.25017690900195305,0.0
29,data/RawData/201_18_2_10_2_wheelchair.txt,201,18,2,10,2,wheelchair,wheelchair,wheelchair,8.801322197462683,0.9224376731301939,0.0,0.0,1.0024252060691987,0.0
30,data/RawData/201_18_3_1_2_wheelchair.txt,201,18,3,1,2,wheelchair,wheelchair,wheelchair,8.712912687387947,0.9196675900277008,0.0001274429325542052,0.06132769382022063,0.9385451762784239,0.0
31,data/RawData/201_18_0_9_2_wheelchair.txt,201,18,0,9,2,wheelchair,wheelchair,wheelchair,8.601369620915271,0.9168975069252078,0.0,0.03469977692209283,0.9654291444063486,0.0
32,data/RawData/201_18_1_11_1_wheelchair.txt,201,18,1,11,1,wheelchair,wheelchair,wheelchair,8.3270605982225,0.9141274238227147,0.0004255793892240028,0.6079713497179788,0.39160206079287607,1.0100998011144544e-06
33,data/RawData/201_18_2_20_2_wheelchair.txt,201,18,2,20,2,wheelchair,wheelchair,wheelchair,8.301645409307714,0.9113573407202216,0.0,0.0,1.205591586110109,0.0
34,data/RawData/201_18_6_2_2_wheelchair.txt,201,18,6,2,2,wheelchair,wheelchair,wheelchair,8.195041709409907,0.9085872576177285,0.0004894633130893555,0.10344754337655164,0.8960666540611418,0.0
35,data/RawData/209_18_6_4_1_wheelchair.txt,209,18,6,4,1,wheelchair,wheelchair,wheelchair,7.983680206902852,0.9058171745152355,0.0,0.0,1.1683799829848491,0.0
36,data/RawData/201_18_2_13_2_wheelchair.txt,201,18,2,13,2,wheelchair,wheelchair,wheelchair,7.463806549019174,0.9030470914127424,0.0,0.0,1.074287695350496,0.0
37,data/RawData/201_18_6_3_2_wheelchair.txt,201,18,6,3,2,wheelchair,wheelchair,wheelchair,7.44078905295865,0.9002770083102493,0.0,0.0,1.077651168234013,0.0
38,data/RawData/209_18_6_1_1_wheelchair.txt,209,18,6,1,1,wheelchair,wheelchair,wheelchair,7.329960676816208,0.8975069252077562,0.00032418930022845024,0.0,1.0021006771666918,0.0
39,data/RawData/201_18_3_5_2_wheelchair.txt,201,18,3,5,2,wheelchair,wheelchair,wheelchair,7.154195304482586,0.8947368421052632,0.0,0.0,1.0066625588806208,1.2381277690465676e-07
40,data/RawData/217_18_0_6_1_wheelchair.txt,217,18,0,6,1,wheelchair,wheelchair,wheelchair,7.021005961260191,0.8919667590027701,0.0,0.018627750775363657,0.9813907468882824,1.7464750269915005e-06
41,data/RawData/212_18_1_1_1_wheelchair.txt,212,18,1,1,1,wheelchair,wheelchair,wheelchair,6.761894262891289,0.889196675900277,0.0,0.00673825963464763,0.993274340721148,1.684573911641532e-06
42,data/RawData/201_18_2_12_2_wheelchair.txt,201,18,2,12,2,wheelchair,wheelchair,wheelchair,6.73341285719347,0.8864265927977839,0.0,0.0,1.160876171731851,0.0
43,data/RawData/203_18_2_28_2_wheelchair.txt,203,18,2,28,2,wheelchair,wheelchair,wheelchair,6.731454722748931,0.8836565096952909,0.0,0.010108038281404831,0.9899373136247037,1.1818988145291392e-06
44,data/RawData/210_18_1_3_1_wheelchair.txt,210,18,1,3,1,wheelchair,wheelchair,wheelchair,6.424397259571679,0.8808864265927978,0.0,0.02356332239855294,0.9765342255796172,1.415303165939591e-07
45,data/RawData/217_18_1_1_1_wheelchair.txt,217,18,1,1,1,wheelchair,wheelchair,wheelchair,6.283985088100162,0.8781163434903048,0.0,0.0,1.1221832154699987,6.867973538014481e-08
46,data/RawData/203_18_2_25_2_wheelchair.txt,203,18,2,25,2,wheelchair,wheelchair,wheelchair,6.005126798283501,0.8753462603878116,0.0,0.04105318259816465,0.9589711555115384,1.2902230849781838e-06
47,data/RawData/201_18_2_27_2_wheelchair.txt,201,18,2,27,2,wheelchair,wheelchair,wheelchair,5.699570680727295,0.8725761772853186,0.0,0.0,1.2011348038389842,0.0
48,data/RawData/201_18_2_2_2_wheelchair.txt,201,18,2,2,2,wheelchair,wheelchair,wheelchair,5.693058628933963,0.8698060941828255,0.0,0.04243391220434301,0.9575817263443357,4.249435348465523e-07
49,data/RawData/212_18_0_6_1_wheelchair.txt,212,18,0,6,1,wheelchair,wheelchair,wheelchair,5.630286830918545,0.8670360110803325,0.0,0.010786906589971482,0.9892535775288015,1.3932917427887664e-06
50,data/RawData/201_18_2_25_2_wheelchair.txt,201,18,2,25,2,wheelchair,wheelchair,wheelchair,5.6271832075120045,0.8642659279778393,0.0,0.0,1.0187227576801503,1.1484147511396303e-06
51,data/RawData/217_18_6_4_1_wheelchair.txt,217,18,6,4,1,wheelchair,wheelchair,wheelchair,5.401942962569632,0.8614958448753463,0.0,0.0,1.1296580426179952,0.0
52,data/RawData/201_18_3_17_2_wheelchair.txt,201,18,3,17,2,wheelchair,wheelchair,wheelchair,5.357291454959166,0.8587257617728532,0.00021774145852240012,0.10982391717085986,0.8899607167735972,0.0
53,data/RawData/217_18_0_3_1_wheelchair.txt,217,18,0,3,1,wheelchair,wheelchair,wheelchair,5.265094586533227,0.8559556786703602,0.0,0.01739212198165867,0.9826460998377741,1.9027850920607904e-06
54,data/RawData/212_18_6_3_2_wheelchair.txt,212,18,6,3,2,wheelchair,wheelchair,wheelchair,5.098035861582272,0.853185595567867,0.00021856376982095667,0.031336756791998356,0.96844318640047,1.4930375143928652e-06
55,data/RawData/217_18_0_5_1_wheelchair.txt,217,18,0,5,1,wheelchair,wheelchair,wheelchair,5.084676915652911,0.850415512465374,0.0,0.02222283293670065,0.9778104693002828,2.896215351534651e-06
56,data/RawData/209_18_6_6_1_wheelchair.txt,209,18,6,6,1,wheelchair,wheelchair,wheelchair,4.889719462766449,0.8476454293628809,0.0,0.07289025744853878,0.9271267205134789,0.0
57,data/RawData/209_18_7_4_2_wheelchair.txt,209,18,7,4,2,wheelchair,wheelchair,wheelchair,4.850948388048053,0.8448753462603878,0.0,0.008260791036711686,0.9917889592742369,5.393373893844672e-07
58,data/RawData/209_18_0_5_1_wheelchair.txt,209,18,0,5,1,wheelchair,wheelchair,wheelchair,4.698750820968203,0.8421052631578947,0.0,0.0,1.036281445269189,1.1514046848122942e-06
59,data/RawData/201_18_2_23_2_wheelchair.txt,201,18,2,23,2,wheelchair,wheelchair,wheelchair,4.595544565899932,0.8393351800554016,0.0,0.0026418071916909955,0.9974348840052525,1.177073262125101e-06
60,data/RawData/201_18_3_10_2_wheelchair.txt,201,18,3,10,2,wheelchair,wheelchair,wheelchair,4.547001228800267,0.8365650969529086,0.0,0.0,1.2407195785233562,0.0
61,data/RawData/201_18_3_7_2_wheelchair.txt,201,18,3,7,2,wheelchair,wheelchair,wheelchair,4.418089821459657,0.8337950138504155,2.7612022434868734e-05,0.052403199524685196,0.9475684641532419,7.242994119975176e-07
62,data/RawData/209_18_5_6_1_wheelchair.txt,209,18,5,6,1,wheelchair,wheelchair,wheelchair,4.176857013893643,0.8310249307479224,0.0,0.01877298776916073,0.9813367705396795,1.139443130943885e-06
63,data/RawData/212_18_1_5_1_wheelchair.txt,212,18,1,5,1,wheelchair,wheelchair,wheelchair,3.95821490917181,0.8282548476454293,0.0,0.0,1.0149362827395392,2.992336520863974e-06
64,data/RawData/201_18_3_3_2_wheelchair.txt,201,18,3,3,2,wheelchair,wheelchair,wheelchair,3.748940549710771,0.8254847645429363,0.00026632831189527667,0.0,1.0468971216511886,9.857517553304777e-07
65,data/RawData/217_18_0_9_2_wheelchair.txt,217,18,0,9,2,wheelchair,wheelchair,wheelchair,3.747082604096125,0.8227146814404432,0.0,0.04767326850219187,0.9523805891333593,2.752556584617503e-06
66,data/RawData/201_18_1_7_2_wheelchair.txt,201,18,1,7,2,wheelchair,wheelchair,wheelchair,3.685896636833418,0.8199445983379502,0.0,0.05775130358614231,0.9423357614409925,1.8381888506025365e-06
67,data/RawData/217_18_0_1_1_wheelchair.txt,217,18,0,1,1,wheelchair,wheelchair,wheelchair,3.674985951047835,0.817174515235457,6.567207643669441e-05,0.05377507880105178,0.94615598741829,3.2617039494928045e-06
68,data/RawData/201_18_5_4_2_wheelchair.txt,201,18,5,4,2,wheelchair,wheelchair,wheelchair,3.6398328901684307,0.814404432132964,0.0,0.01796189215772593,0.9820586127919803,4.728015631806068e-06
69,data/RawData/201_18_3_2_2_wheelchair.txt,201,18,3,2,2,wheelchair,wheelchair,wheelchair,3.587514518049187,0.8116343490304709,0.0002348107613634047,0.10489492558382459,0.8948693515918428,9.120626904773269e-07
70,data/RawData/217_18_6_1_1_wheelchair.txt,217,18,6,1,1,wheelchair,wheelchair,wheelchair,3.570860215202327,0.8088642659279779,0.0,0.0,1.2299453236434736,3.502455374678782e-07
71,data/RawData/201_18_1_4_2_wheelchair.txt,201,18,1,4,2,wheelchair,wheelchair,wheelchair,3.4769709829367033,0.8060941828254847,0.001562816916372734,0.12730340137377527,0.8711307023673074,3.0793422569000647e-06
72,data/RawData/201_18_2_44_2_wheelchair.txt,201,18,2,44,2,wheelchair,wheelchair,wheelchair,3.3559945384267875,0.8033240997229917,0.0,0.034943665588843195,0.9652523734683384,0.0
73,data/RawData/201_18_3_11_1_wheelchair.txt,201,18,3,11,1,wheelchair,wheelchair,wheelchair,3.302217214541536,0.8005540166204986,0.0002407551289278638,0.5905193896065848,0.40923897352113536,8.817430490497389e-07
74,data/RawData/212_18_6_2_2_wheelchair.txt,212,18,6,2,2,wheelchair,wheelchair,wheelchair,3.2371086612651685,0.7977839335180056,4.7732047858275194e-05,0.053959349179753605,0.9459929538763909,0.0
75,data/RawData/209_18_0_3_1_wheelchair.txt,209,18,0,3,1,wheelchair,wheelchair,wheelchair,3.2080769379859664,0.7950138504155124,0.0,0.0,1.003173746536487,2.6013874676121636e-06
76,data/RawData/212_18_1_6_1_wheelchair.txt,212,18,1,6,1,wheelchair,wheelchair,wheelchair,3.171825012709521,0.7922437673130194,2.5511233318779116e-05,0.0,1.0172413995826848,1.6882088207083766e-06
77,data/RawData/209_18_7_1_2_wheelchair.txt,209,18,7,1,2,wheelchair,wheelchair,wheelchair,3.101457346436923,0.7894736842105263,0.00010829116720579902,0.0,1.1274224787414056,1.5327372881861574e-06
78,data/RawData/201_18_2_32_2_wheelchair.txt,201,18,2,32,2,wheelchair,wheelchair,wheelchair,3.0997732488723884,0.7867036011080333,0.0009271901329847276,0.0,1.1188015718695055,2.66435437020359e-06
79,data/RawData/201_18_2_14_2_wheelchair.txt,201,18,2,14,2,wheelchair,wheelchair,wheelchair,2.992861237287393,0.7839335180055401,0.0016183485124324772,0.0,1.1267174854509507,8.399703004315051e-07
80,data/RawData/201_18_1_13_1_wheelchair.txt,201,18,1,13,1,wheelchair,wheelchair,wheelchair,2.9803321495312267,0.7811634349030471,0.0016850539655403854,0.05827701389731123,0.9400336451288884,4.287007924684361e-06
81,data/RawData/217_18_6_5_1_wheelchair.txt,217,18,6,5,1,wheelchair,wheelchair,wheelchair,2.9126502502919407,0.778393351800554,0.0,0.0,1.2367397740264385,1.5261988532437516e-07
82,data/RawData/201_18_2_22_2_wheelchair.txt,201,18,2,22,2,wheelchair,wheelchair,wheelchair,2.8823127335859753,0.775623268698061,0.0003792797069578463,0.0,1.0916515094808847,0.0
83,data/RawData/201_18_3_8_2_wheelchair.txt,201,18,3,8,2,wheelchair,wheelchair,wheelchair,2.8720544861102044,0.7728531855955678,0.0,0.0,1.2913050342059424,0.0
84,data/RawData/212_18_0_2_1_wheelchair.txt,212,18,0,2,1,wheelchair,wheelchair,wheelchair,2.8605821831802203,0.7700831024930748,9.067914400378176e-05,0.0,1.0619563017160274,2.057074279729346e-06
85,data/RawData/217_18_6_2_1_wheelchair.txt,217,18,6,2,1,wheelchair,wheelchair,wheelchair,2.575299931440338,0.7673130193905817,0.0,0.03578359889827096,0.9642953083900566,2.4770677475629038e-06
86,data/RawData/209_18_6_3_1_wheelchair.txt,209,18,6,3,1,wheelchair,wheelchair,wheelchair,2.5699299790809707,0.7645429362880887,0.0,0.09151295401354632,0.9085425958001582,1.8138941919853436e-06
87,data/RawData/201_18_5_3_2_wheelchair.txt,201,18,5,3,2,wheelchair,wheelchair,wheelchair,2.4276282624852605,0.7617728531855956,0.0,0.0214298590335535,0.9786120125671569,5.175240036333727e-06
88,data/RawData/201_18_3_9_2_wheelchair.txt,201,18,3,9,2,wheelchair,wheelchair,wheelchair,2.3988404631764317,0.7590027700831025,0.0012285846381029553,0.41180344716008865,0.586967332326916,6.358744754690673e-07
89,data/RawData/203_18_2_22_2_wheelchair.txt,203,18,2,22,2,wheelchair,wheelchair,wheelchair,2.3219178896170036,0.7562326869806094,0.0,0.0,1.0691252168706984,8.301651729875012e-06
90,data/RawData/201_18_3_4_2_wheelchair.txt,201,18,3,4,2,wheelchair,wheelchair,wheelchair,2.219678613347353,0.7534626038781164,3.6065032861992744e-05,0.15129941640066868,0.8486634002785614,1.1182874573116864e-06
91,data/RawData/209_18_8_1_2_wheelchair.txt,209,18,8,1,2,wheelchair,wheelchair,wheelchair,2.1920545439619774,0.7506925207756233,9.827720549942537e-05,0.0,1.0115857768877616,1.0148916582342235e-05
92,data/RawData/201_18_1_12_1_wheelchair.txt,201,18,1,12,1,wheelchair,wheelchair,wheelchair,2.1458201047893426,0.7479224376731302,0.0,0.11709357937570741,0.8830310008186067,3.1487354425687094e-06
93,data/RawData/203_18_2_15_2_wheelchair.txt,203,18,2,15,2,wheelchair,wheelchair,wheelchair,2.038598157829636,0.7451523545706371,0.0,0.08980219131195583,0.9101984862875098,8.950940873389103e-06
94,data/RawData/201_18_1_3_2_wheelchair.txt,201,18,1,3,2,wheelchair,wheelchair,wheelchair,2.0320947720537537,0.7423822714681441,0.0010576994616277409,0.0,1.0602361439624195,4.862102525857142e-06
95,data/RawData/212_18_3_5_1_wheelchair.txt,212,18,3,5,1,wheelchair,wheelchair,wheelchair,1.9910090323503795,0.739612188365651,3.661197499362836e-05,0.014143054119670111,0.9858115607663366,8.77313849745741e-06
96,data/RawData/203_18_2_3_2_wheelchair.txt,203,18,2,3,2,wheelchair,wheelchair,wheelchair,1.921043368291469,0.7368421052631579,5.741611371568777e-05,0.02460988432268874,0.9753224520603927,1.0247502682122068e-05
97,data/RawData/209_18_0_4_1_wheelchair.txt,209,18,0,4,1,wheelchair,wheelchair,wheelchair,1.9006185637678952,0.7340720221606648,0.0005927882020937384,0.0,1.053588529736345,8.076361941982069e-06
98,data/RawData/212_18_1_4_1_wheelchair.txt,212,18,1,4,1,wheelchair,wheelchair,wheelchair,1.8986574323953398,0.7313019390581718,0.0,0.05095179739491784,0.9492312535264181,4.016137448086814e-06
99,data/RawData/201_18_0_5_1_wheelchair.txt,201,18,0,5,1,wheelchair,wheelchair,wheelchair,1.8620515107655777,0.7285318559556787,6.320886082014719e-05,0.02079152317211511,0.9791352782891022,9.98967742553941e-06
100,data/RawData/212_18_4_3_1_wheelchair.txt,212,18,4,3,1,wheelchair,wheelchair,wheelchair,1.7204113203078035,0.7257617728531855,1.7332065203539968e-05,0.001474592541947113,0.9984954813654615,1.2594026806478827e-05
101,data/RawData/212_18_4_1_1_wheelchair.txt,212,18,4,1,1,wheelchair,wheelchair,wheelchair,1.6640001423643245,0.7229916897506925,0.0,0.0,1.0515351203705654,7.2663273242086045e-06
102,data/RawData/203_18_2_20_2_wheelchair.txt,203,18,2,20,2,wheelchair,wheelchair,wheelchair,1.5728453282595702,0.7202216066481995,8.588659013570462e-05,0.01899342654049503,0.9809082193972447,1.2467471488840462e-05
103,data/RawData/203_18_2_26_2_wheelchair.txt,203,18,2,26,2,wheelchair,wheelchair,wheelchair,1.5314144576175732,0.7174515235457064,0.0,0.0,1.0602300817566068,5.364757699095247e-06
104,data/RawData/210_18_2_2_1_wheelchair.txt,210,18,2,2,1,wheelchair,wheelchair,wheelchair,1.5146498314309775,0.7146814404432132,0.0,0.0,1.0285162864381248,5.516588528457392e-06
105,data/RawData/217_18_6_3_1_wheelchair.txt,217,18,6,3,1,wheelchair,wheelchair,wheelchair,1.4940481555106864,0.7119113573407202,0.0,0.0,1.0170873816881811,6.3853289477717145e-06
106,data/RawData/201_18_4_5_2_wheelchair.txt,201,18,4,5,2,wheelchair,wheelchair,wheelchair,1.4752972531933988,0.7091412742382271,0.0015890603023323018,0.09204358261727537,0.906365258207828,2.0988718862587476e-06
107,data/RawData/201_18_0_12_2_wheelchair.txt,201,18,0,12,2,wheelchair,wheelchair,wheelchair,1.4743460766566339,0.7063711911357341,0.00017358340587265417,0.01866420360404152,0.9811475102486907,1.470274071676507e-05
